study_name	sample_id	subject_id	target_condition	target_condition_ontology_term_id	body_site	body_site_ontology_term_id	host_species	host_species_ontology_term_id	control	control_ontology_term_id	age	age_group	age_group_ontology_term_id	age_unit	age_unit_ontology_term_id	sex	sex_ontology_term_id	disease	disease_ontology_term_id	curator	pmid	sequencing_platform
MoiseyenkoA_2026	CALTEC-001-6W-B	CALTEC-001-6W-B	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-7W-B	CALTEC-001-7W-B	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-8W-B	CALTEC-001-8W-B	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-1C-B	CALTEC-001-1C-B	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-2C-B	CALTEC-001-2C-B	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-3C-B	CALTEC-001-3C-B	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-4C-B	CALTEC-001-4C-B	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-5C-B	CALTEC-001-5C-B	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-6C-B	CALTEC-001-6C-B	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-7C-B	CALTEC-001-7C-B	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-8C-B	CALTEC-001-8C-B	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-1B-B	CALTEC-001-1B-B	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-2B-B	CALTEC-001-2B-B	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-3B-B	CALTEC-001-3B-B	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-4B-B	CALTEC-001-4B-B	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-5B-B	CALTEC-001-5B-B	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-6B-B	CALTEC-001-6B-B	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-7B-B	CALTEC-001-7B-B	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
MoiseyenkoA_2026	CALTEC-001-8B-B	CALTEC-001-8B-B	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	18	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	41786774	IlluminaNovaSeq
