study_name	sample_id	subject_id	target_condition	target_condition_ontology_term_id	body_site	body_site_ontology_term_id	host_species	host_species_ontology_term_id	control	control_ontology_term_id	age	age_group	age_group_ontology_term_id	age_unit	age_unit_ontology_term_id	sex	sex_ontology_term_id	disease	disease_ontology_term_id	curator	sequencing_platform
DumitrescuDG_2023	CALTEC-001-DGD15	CALTEC-001-DGD15	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	13	NA	NA	Week	NCIT:C29844	Female	NCIT:C16576	NA	NA	Kaelyn Long	IlluminaNovaSeq
DumitrescuDG_2023	CALTEC-001-DGD16	CALTEC-001-DGD16	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	13	NA	NA	Week	NCIT:C29844	Female	NCIT:C16576	NA	NA	Kaelyn Long	IlluminaNovaSeq
DumitrescuDG_2023	CALTEC-001-DGD17	CALTEC-001-DGD17	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	13	NA	NA	Week	NCIT:C29844	Female	NCIT:C16576	NA	NA	Kaelyn Long	IlluminaNovaSeq
DumitrescuDG_2023	CALTEC-001-DGD1	CALTEC-001-DGD1	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	13	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	IlluminaNovaSeq
DumitrescuDG_2023	CALTEC-001-DGD2	CALTEC-001-DGD2	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	13	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	IlluminaNovaSeq
DumitrescuDG_2023	CALTEC-001-DGD3	CALTEC-001-DGD3	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	13	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	IlluminaNovaSeq
DumitrescuDG_2023	CALTEC-001-DGD4	CALTEC-001-DGD4	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	13	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	IlluminaNovaSeq
DumitrescuDG_2023	CALTEC-001-DGD12	CALTEC-001-DGD12	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	13	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	IlluminaNovaSeq
DumitrescuDG_2023	CALTEC-001-DGD13	CALTEC-001-DGD13	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	13	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	IlluminaNovaSeq
DumitrescuDG_2023	CALTEC-001-DGD14	CALTEC-001-DGD14	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Study Control	NCIT:C142703	13	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	IlluminaNovaSeq
DumitrescuDG_2023	CALTEC-001-DGD8	CALTEC-001-DGD8	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	13	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	IlluminaNovaSeq
DumitrescuDG_2023	CALTEC-001-DGD9	CALTEC-001-DGD9	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	13	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	IlluminaNovaSeq
DumitrescuDG_2023	CALTEC-001-DGD10	CALTEC-001-DGD10	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	13	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	IlluminaNovaSeq
DumitrescuDG_2023	CALTEC-001-DGD11	CALTEC-001-DGD11	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	13	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	IlluminaNovaSeq
DumitrescuDG_2023	CALTEC-001-DGD21	CALTEC-001-DGD21	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	13	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	IlluminaNovaSeq
DumitrescuDG_2023	CALTEC-001-DGD22	CALTEC-001-DGD22	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	13	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	IlluminaNovaSeq
DumitrescuDG_2023	CALTEC-001-DGD23	CALTEC-001-DGD23	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	13	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	IlluminaNovaSeq
DumitrescuDG_2023	CALTEC-001-DGD24	CALTEC-001-DGD24	Parkinson Disease	NCIT:C26845	feces	UBERON:0001988	Mus musculus	NCBITaxon:10090	Case	NCIT:C49152	13	NA	NA	Week	NCIT:C29844	Male	NCIT:C20197	NA	NA	Kaelyn Long	IlluminaNovaSeq
