sample_id,sra_study,bioproject
SAMEA3449222,ERP010700,PRJEB9576
SAMN11283211,SRP189832,PRJNA529400
SAMN04261393,SRP066479,PRJNA300541
SAMEA2162475,ERP003612,PRJEB4336
SAMEA103958134,ERP019674,PRJEB17784
SAMN18473914,SRP312284,PRJNA716780
SAMEA2338664,ERP004605,PRJEB5224
SAMEA2338691,ERP004605,PRJEB5224
SAMN11605821,SRP197281,PRJNA541981
SAMEA3541540,ERP012177,PRJEB10878
SAMEA4968268,ERP111403,PRJEB29127
SAMN03418284,SRP056480,PRJNA278393
SAMEA104416139,ERP104577,PRJEB22863
SAMEA1906424,ERP002469,PRJEB1786
SAMEA3449375,ERP010700,PRJEB9576
SAMN10093280,SRP164774,PRJNA491335
SAMEA1906466,ERP002469,PRJEB1786
SAMN04126250,SRP064400,PRJNA297252
SAMN06350477,SRP100410,PRJNA376098
SAMEA4545476,ERP019502,PRJEB17632
SAMN09382450,SRP150069,PRJNA475246
SAMEA4031755,ERP016024,PRJEB14383
SAMN06111998,SRP094805,PRJNA356102
SAMEA4031756,ERP016024,PRJEB14383
SAMN11978159,SRP200814,PRJNA547717
SAMEA2737727,ERP006678,PRJEB6997
SAMN08335132,SRP128485,PRJNA429097
SAMEA6870508,ERP122062,PRJEB38625
SAMN03287597,SRP052958,PRJNA255922
SAMEA104142438,ERP023788,PRJEB21528
SAMN06350129,SRP100409,PRJNA352475
SAMN07688523,SRP118697,PRJNA407815
SAMEA3882543,ERP013827,PRJEB12357
SAMN09382491,SRP150069,PRJNA475246
SAMN06112067,SRP094805,PRJNA356102
SAMN06115506,SRP095060,PRJNA356225
SAMN04126309,SRP064400,PRJNA297252
SAMN06115495,SRP095060,PRJNA356225
SAMN07449009,SRP114847,PRJNA397112
SAMEA4545338,ERP019502,PRJEB17632
SAMN07498100,SRP115355,PRJNA397906
SAMN10093246,SRP164774,PRJNA491335
SAMN10847157,SRP182132,PRJNA516054
SAMEA3951766,ERP015450,PRJEB13870
SAMN16673373,SRP292135,PRJNA672867
SAMEA3951790,ERP015450,PRJEB13870
SAMEA4968198,ERP111403,PRJEB29127
SAMN11252255,SRP168387,PRJNA504891
SAMN08329225,SRP128485,PRJNA429097
SAMEA110061378,ERP138199,PRJEB53403
SAMEA3879560,ERP013933,PRJEB12449
SAMN04261241,SRP066479,PRJNA300541
SAMN20395405,SRP329840,PRJNA749645
SAMN03398939,SRP056054,PRJNA231909
SAMEA6870610,ERP122062,PRJEB38625
SAMEA3541566,ERP012177,PRJEB10878
SAMN02334280,SRP029441,PRJNA217052
SAMN03398556,SRP056821,PRJNA277905
SAMN03398539,SRP056821,PRJNA277905
SAMN03398581,SRP056821,PRJNA277905
SAMN03025534,SRP002480,PRJNA46333
SAMN20395390,SRP329840,PRJNA749645
SAMN00715245,SRP008047,PRJNA422434
SAMEA1906552,ERP002469,PRJEB1786
SAMN03025539,SRP002480,PRJNA46333
SAMEA14367161,ERP132229,PRJEB47909
SAMN05414917,SRP080787,PRJNA328899
SAMN03398565,SRP056821,PRJNA277905
SAMN06350115,SRP100409,PRJNA352475
SAMN11978185,SRP200814,PRJNA547717
SAMN13221636,SRP228703,PRJNA588035
SAMEA13445476,ERP122062,PRJEB38625
SAMN17006444,SRP301755,PRJNA682730
SAMN18473903,SRP312284,PRJNA716780
SAMEA1906417,ERP002469,PRJEB1786
SAMN04261240,SRP066479,PRJNA300541
SAMEA112657438,ERP136418,PRJEB51776
SAMEA12111276,ERP134027,PRJEB49516
SAMEA2159553,ERP003612,PRJEB4336
SAMEA4431990,ERP017091,PRJEB15371
SAMN02334354,SRP029441,PRJNA217052
SAMN04571733,SRP072561,PRJNA289586
SAMN00715204,SRP008047,PRJNA422434
SAMN04126244,SRP064400,PRJNA297252
SAMN14366078,SRP252566,PRJNA612291
SAMN05414892,SRP080787,PRJNA328899
SAMN02334360,SRP029441,PRJNA217052
SAMN10093244,SRP164774,PRJNA491335
SAMEA3449171,ERP010700,PRJEB9576
SAMEA103958138,ERP019674,PRJEB17784
SAMEA104416151,ERP104577,PRJEB22863
SAMEA104416343,ERP104577,PRJEB22863
SAMEA5054176,ERP111669,PRJEB29373
SAMEA3541528,ERP012177,PRJEB10878
SAMN05710185,SRP083099,PRJNA340216
SAMN12619403,SRP219080,PRJNA561510
SAMN04126209,SRP064400,PRJNA297252
SAMEA40061668,ERP020739,PRJEB18780
SAMN06619283,SRP102150,PRJNA379741
SAMN08335935,SRP128485,PRJNA429097
SAMN08335087,SRP128485,PRJNA429097
SAMN15823268,SRP277469,PRJNA656577
SAMN03418266,SRP056480,PRJNA278393
SAMEA3541559,ERP012177,PRJEB10878
SAMN22443550,SRP340838,PRJNA770295
SAMN04261323,SRP066479,PRJNA300541
SAMN05414911,SRP080787,PRJNA328899
SAMN04261154,SRP066479,PRJNA300541
SAMN05414935,SRP080787,PRJNA328899
SAMEA6591477,ERP120058,PRJEB36820
SAMEA104416188,ERP104577,PRJEB22863
SAMN11418662,SRP199213,PRJNA531203
SAMEA103958142,ERP019674,PRJEB17784
SAMN09382549,SRP150069,PRJNA475246
SAMN11252268,SRP168387,PRJNA504891
SAMEA103958167,ERP019674,PRJEB17784
SAMN06619261,SRP102150,PRJNA379741
SAMN09382730,SRP150069,PRJNA475246
SAMN07199996,SRP108708,PRJNA385949
SAMN04261363,SRP066479,PRJNA300541
SAMEA6870477,ERP122062,PRJEB38625
SAMN11977883,SRP201343,PRJNA547591
SAMN11252284,SRP168387,PRJNA504891
SAMEA112657394,ERP136418,PRJEB51776
SAMN07284979,SRP110665,PRJNA392180
SAMN10781791,SRP182132,PRJNA516054
SAMN10888608,SRP184706,PRJNA521455
SAMEA13445537,ERP122062,PRJEB38625
SAMEA4431907,ERP017091,PRJEB15371
SAMN11064180,SRP131624,PRJNA431482
SAMEA2338768,ERP004605,PRJEB5224
SAMEA2737652,ERP006678,PRJEB6997
SAMEA4968228,ERP111403,PRJEB29127
SAMN07199989,SRP108708,PRJNA385949
SAMN17250431,SRP300787,PRJNA690543
SAMN17250443,SRP300787,PRJNA690543
SAMN22443502,SRP340838,PRJNA770295
SAMEA2737709,ERP006678,PRJEB6997
SAMEA4545323,ERP019502,PRJEB17632
SAMEA112657441,ERP136418,PRJEB51776
SAMN00078191,SRP002395,PRJNA48333
SAMN05525420,SRP078001,PRJNA322188
SAMN06111938,SRP094805,PRJNA356102
SAMEA4968138,ERP111403,PRJEB29127
SAMN06112042,SRP094805,PRJNA356102
SAMN07498104,SRP115355,PRJNA397906
SAMN12583212,SRP157939,PRJNA486009
SAMEA8072243,ERP127050,PRJEB43119
SAMEA110061147,ERP138197,PRJEB53401
SAMEA3449195,ERP010700,PRJEB9576
SAMEA4968181,ERP111403,PRJEB29127
SAMN10781801,SRP182132,PRJNA516054
SAMEA3541511,ERP012177,PRJEB10878
SAMEA3541584,ERP012177,PRJEB10878
SAMN04209227,SRP066053,PRJNA299502
SAMN16811206,SRP292759,PRJNA678737
SAMN06348129,SRP100575,PRJNA375935
SAMEA110061348,ERP138199,PRJEB53403
SAMEA3951700,ERP015450,PRJEB13870
SAMEA104416299,ERP104577,PRJEB22863
SAMN16673342,SRP292135,PRJNA672867
SAMEA2737771,ERP006678,PRJEB6997
SAMEA3136748,ERP008729,PRJEB7774
SAMEA6870414,ERP122062,PRJEB38625
SAMEA5054121,ERP111669,PRJEB29373
SAMEA4545328,ERP019502,PRJEB17632
SAMEA2338832,ERP004605,PRJEB5224
SAMN06348138,SRP100575,PRJNA375935
SAMEA2148374,ERP003612,PRJEB4336
SAMN02334065,SRP029441,PRJNA217052
SAMEA2737714,ERP006678,PRJEB6997
SAMEA3541592,ERP012177,PRJEB10878
SAMN02333939,SRP029441,PRJNA217052
SAMEA4031766,ERP016024,PRJEB14383
SAMEA104416294,ERP104577,PRJEB22863
SAMN06115443,SRP095060,PRJNA356225
SAMEA110061350,ERP138199,PRJEB53403
SAMEA2154036,ERP003612,PRJEB4336
SAMN16673367,SRP292135,PRJNA672867
SAMEA2338804,ERP004605,PRJEB5224
SAMN09382687,SRP150069,PRJNA475246
SAMN17006433,SRP301755,PRJNA682730
SAMEA8072237,ERP127050,PRJEB43119
SAMEA14367164,ERP132229,PRJEB47909
SAMN20395418,SRP329840,PRJNA749645
SAMN02333918,SRP029441,PRJNA217052
SAMEA12111352,ERP134027,PRJEB49516
SAMEA3449312,ERP010700,PRJEB9576
SAMEA3541530,ERP012177,PRJEB10878
SAMEA3879520,ERP013933,PRJEB12449
SAMEA3879536,ERP013933,PRJEB12449
SAMEA5054124,ERP111669,PRJEB29373
SAMN11064172,SRP131624,PRJNA431482
SAMN08329229,SRP128485,PRJNA429097
SAMN20395415,SRP329840,PRJNA749645
SAMEA6870428,ERP122062,PRJEB38625
SAMN00792106,SRP008047,PRJNA422434
SAMN02334389,SRP029441,PRJNA217052
SAMN05414954,SRP080787,PRJNA328899
SAMN07448979,SRP114847,PRJNA397112
SAMN11977794,SRP201343,PRJNA547591
SAMN02334021,SRP029441,PRJNA217052
SAMN10888550,SRP184706,PRJNA521455
SAMN02334134,SRP029441,PRJNA217052
SAMN04261280,SRP066479,PRJNA300541
SAMEA1906479,ERP002469,PRJEB1786
SAMEA4545314,ERP019502,PRJEB17632
SAMN06328432,SRP100446,PRJNA373901
SAMN06350134,SRP100409,PRJNA352475
SAMN06350201,SRP100409,PRJNA352475
SAMEA2737803,ERP006678,PRJEB6997
SAMN17372208,SRP302170,PRJNA692830
SAMN05414999,SRP080787,PRJNA328899
SAMN10888561,SRP184706,PRJNA521455
SAMN17250457,SRP300787,PRJNA690543
SAMN11265238,SRP189572,PRJNA529124
SAMN17006394,SRP301755,PRJNA682730
SAMN14366067,SRP252566,PRJNA612291
SAMN07284977,SRP110665,PRJNA392180
SAMN06348147,SRP100575,PRJNA375935
SAMN11064167,SRP131624,PRJNA431482
SAMEA2160152,ERP003612,PRJEB4336
SAMEA5054153,ERP111669,PRJEB29373
SAMN05414907,SRP080787,PRJNA328899
SAMN21886439,SRP339782,PRJNA762360
SAMEA112657323,ERP136418,PRJEB51776
SAMEA5054217,ERP111669,PRJEB29373
SAMN00715251,SRP008047,PRJNA422434
SAMN05414940,SRP080787,PRJNA328899
SAMN00037274,SRP002395,PRJNA48333
SAMN00715136,SRP008047,PRJNA422434
SAMEA3951796,ERP015450,PRJEB13870
SAMEA3449162,ERP010700,PRJEB9576
SAMEA104416146,ERP104577,PRJEB22863
SAMEA6870604,ERP122062,PRJEB38625
SAMEA104142387,ERP023788,PRJEB21528
SAMEA104416336,ERP104577,PRJEB22863
SAMN03398744,SRP056054,PRJNA231909
SAMN11265234,SRP189572,PRJNA529124
SAMEA3951636,ERP015450,PRJEB13870
SAMEA112657348,ERP136418,PRJEB51776
SAMEA6591476,ERP120058,PRJEB36820
SAMEA104142412,ERP023788,PRJEB21528
SAMN21886451,SRP339782,PRJNA762360
SAMEA6870427,ERP122062,PRJEB38625
SAMN05414964,SRP080787,PRJNA328899
SAMN06619228,SRP102150,PRJNA379741
SAMN11265223,SRP189572,PRJNA529124
SAMEA104416241,ERP104577,PRJEB22863
SAMN02334298,SRP029441,PRJNA217052
SAMN04261352,SRP066479,PRJNA300541
SAMEA2154516,ERP003612,PRJEB4336
SAMEA3449385,ERP010700,PRJEB9576
SAMEA3879511,ERP013933,PRJEB12449
SAMN02334123,SRP029441,PRJNA217052
SAMN09781718,SRP156699,PRJNA485056
SAMEA103958137,ERP019674,PRJEB17784
SAMN04209237,SRP066053,PRJNA299502
SAMN03287595,SRP052958,PRJNA255922
SAMN20395432,SRP329840,PRJNA749645
SAMN11977858,SRP201343,PRJNA547591
SAMN04261159,SRP066479,PRJNA300541
SAMEA6870581,ERP122062,PRJEB38625
SAMEA4968275,ERP111403,PRJEB29127
SAMN11977814,SRP201343,PRJNA547591
SAMN17250463,SRP300787,PRJNA690543
SAMN11265255,SRP189572,PRJNA529124
SAMEA110061158,ERP138197,PRJEB53401
SAMN10888620,SRP184706,PRJNA521455
SAMEA2338851,ERP004605,PRJEB5224
SAMEA4031774,ERP016024,PRJEB14383
SAMN02919209,SRP044400,PRJNA255439
SAMN02334023,SRP029441,PRJNA217052
SAMN02333936,SRP029441,PRJNA217052
SAMN03922493,SRP062282,PRJNA290729
SAMN04209221,SRP066053,PRJNA299502
SAMEA3449182,ERP010700,PRJEB9576
SAMEA5054127,ERP111669,PRJEB29373
SAMN06350090,SRP100409,PRJNA352475
SAMN09781772,SRP156699,PRJNA485056
SAMEA3951639,ERP015450,PRJEB13870
SAMEA6870398,ERP122062,PRJEB38625
SAMN06909388,SRP107323,PRJNA379120
SAMN13221641,SRP228703,PRJNA588035
SAMEA104142373,ERP023788,PRJEB21528
SAMEA3136688,ERP008729,PRJEB7774
SAMN03025600,SRP002480,PRJNA46333
SAMN21886414,SRP339782,PRJNA762360
