study_name	sample_id	subject_id	target_condition	target_condition_ontology_term_id	host_species	host_species_ontology_term_id	body_site	body_site_ontology_term_id	control	control_ontology_term_id	age	age_unit	age_unit_ontology_term_id	sex	sex_ontology_term_id	curator	sequencing_platform	pmid	country	location	westernized	ncbi_accession
SampsonTR_2025	hSCATG026AM3_6MTH_12162019	hSCATG026AM3	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13381	Study Control	NCIT:C142703	6	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674712
SampsonTR_2025	hSCATG026AM3_3MTH_09162019	hSCATG026AM3	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13382	Study Control	NCIT:C142703	3	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674713
SampsonTR_2025	hSCATG026AM3_1MTH_07152019	hSCATG026AM3	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13383	Study Control	NCIT:C142703	1	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674714
SampsonTR_2025	hSCATG026AM3_12MTH_06142020	hSCATG026AM3	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13384	Study Control	NCIT:C142703	12	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674715
SampsonTR_2025	hSCATG018AM1_3MTH_09032019	hSCATG018AM1	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13385	Study Control	NCIT:C142703	3	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674716
SampsonTR_2025	hSCATG026AM2_6MTH_12162019	hSCATG026AM2	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13386	Study Control	NCIT:C142703	6	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674717
SampsonTR_2025	hSCATG040AM5_1MTH_08082019	hSCATG040AM5	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13387	Case	NCIT:C49152	1	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674727
SampsonTR_2025	hSCATG020AM1_12MTH_06042020	hSCATG020AM1	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13388	Study Control	NCIT:C142703	12	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674728
SampsonTR_2025	hSCATG035AM4_6MTH_01022020	hSCATG035AM4	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13389	Study Control	NCIT:C142703	6	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674729
SampsonTR_2025	hSCATG035AM4_3MTH_10032019	hSCATG035AM4	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13390	Study Control	NCIT:C142703	3	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674730
SampsonTR_2025	hSCATG035AM4_1MTH_08012019	hSCATG035AM4	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13391	Study Control	NCIT:C142703	1	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674731
SampsonTR_2025	hSCATG035AM4_12MTH_06302020	hSCATG035AM4	Parkinson Disease	NCIT:C26845	Mus musculus	NCBITaxon:10090	feces	NCIT:C13392	Study Control	NCIT:C142703	12	Month	NCIT:C29846	Male	NCIT:C20197	Kaelyn Long	IlluminaHiSeq	39893159	United States	Alabama	Yes	SRR28674732
